waktu,id,username,teks
7/14/2022 14:46,1.54759E+18,septimental,b'RT @bitxt: lagi mempertimbangkan memulai karir di \xe2\x9a\xa1\xef\xb8\x8fData Science?\xe2\x9a\xa1\xef\xb8\x8f\n\nyuk ngobrol santai bareng gue di Fox Talks seputar berkarir atau memul\xe2\x80\xa6'
7/14/2022 13:27,1.54757E+18,d,"b'pen daftar magang bagian data, tp gtau bedanya data scientist, data analyst sama data engineer haha k0ny0l'"
7/14/2022 13:27,1.54757E+18,Mas2 HRD yg demen Muse,b'RT @bitxt: lagi mempertimbangkan memulai karir di \xe2\x9a\xa1\xef\xb8\x8fData Science?\xe2\x9a\xa1\xef\xb8\x8f\n\nyuk ngobrol santai bareng gue di Fox Talks seputar berkarir atau memul\xe2\x80\xa6'
7/14/2022 12:58,1.54757E+18,erstwhile,"b'gatau aje bisa ngeluarin data scientist dr sini, sistem informasi, ngoding dll. emg ngl pasti balik lg ke masing2 individunya'"
7/14/2022 12:06,1.54755E+18,fad,b'gue tiba tiba pgn jadi data scientist or data analyst gt ANEH BGT KNP YH'
7/14/2022 11:32,1.54754E+18,Kemal,"b'Day 4 nyebur sebagai Data Scientist, mau muntah rasanya\xf0\x9f\xa4\xa2'"
7/14/2022 10:37,1.54753E+18,୧⍤⃝🌱,"b'Yang web aku udah ada pengalaman dikit2, kalau yg data scientist belum pernah ngulik lebih jauh :"") tapi sama2 minat keduanya'"
7/14/2022 10:35,1.54753E+18,୧⍤⃝🌱,"b'Bingung mau ambil studpen yg apa :"") mending ambil path data scientist atau web developer ya? \xf0\x9f\x98\x94'"
7/14/2022 9:33,1.54751E+18,Alvin,"b'@lutfisyahbana @arjunaskykok Kebetulan saya juga lagi nyari bootcamp, dan tau kok bootcamp yg dibawah 10jt itu, tap\xe2\x80\xa6 https://t.co/KHu8gyoCXf'"
7/14/2022 8:46,1.5475E+18,rapunzel kw super,b'@worksfess Ada yg kerja remote sbg data scientist?'
7/14/2022 8:06,1.54749E+18,ROMO,b'RT @aliakbars: Kumpulan kuliah bagus di Stanford untuk menjadi data scientist yang sakti mandraguna \xf0\x9f\xa7\xb5\n\nDisclaimer: Asumsinya paling tidak k\xe2\x80\xa6'
7/14/2022 7:36,1.54749E+18,LOKERCOT 💼,b'Info loker dari Telkomsigma - Data Engineer &amp; Data Scientist\n\n#lokercot #lokerpam #karirfess https://t.co/iV4uwBRXmR'
7/14/2022 6:06,1.54746E+18,YCH ❌❌❌,"b'RT @khalidmeister: Hello guys, mau sampein lowongan nih. DH Collaborative (perusahaan tempat gua kerja), buka rekrutmen nih buat jadi data\xe2\x80\xa6'"
7/14/2022 5:25,1.54745E+18,North American Soccer 🇮🇩,"b'RT @khalidmeister: Hello guys, mau sampein lowongan nih. DH Collaborative (perusahaan tempat gua kerja), buka rekrutmen nih buat jadi data\xe2\x80\xa6'"
7/14/2022 4:34,1.54744E+18,Sekolah profesional,b'2. Data Scientist dan Data Analyst\nMahasiswa yang berminat pada bidang data scientist dan data analyst berfokus pad\xe2\x80\xa6 https://t.co/VgL2oudgnY'
7/14/2022 3:48,1.54743E+18,DQLab,"b'Kalau penasaran dan ingin langsung mempersiapkannya, bisa langsung klik link berikut ini ya Sahabat DQ! \xf0\x9f\x91\x89\xf0\x9f\x8f\xbb\xe2\x80\xa6 https://t.co/xpLOgI4zi7'"
7/14/2022 3:47,1.54743E+18,DQLab,"b'Sahabat DQ, pastinya ingin donk menjadi seorang Data Scientist yang handal? Kalau ingin, tentunya memerlukan bebera\xe2\x80\xa6 https://t.co/qyBlgzuQC2'"
7/14/2022 3:31,1.54742E+18,godfrey™,"b'RT @ai_jobsNET: HIRING: Senior Data Scientist / Noida, Hyderabad, Bengaluru, Chennai https://t.co/j7q72q5U2A #AI #MachineLearning #DataJobs\xe2\x80\xa6'"
7/14/2022 3:15,1.54742E+18,Hiring Now in Tech,"b'RT @ai_jobsNET: HIRING: Senior Data Scientist / Noida, Hyderabad, Bengaluru, Chennai https://t.co/j7q72q5U2A #AI #MachineLearning #DataJobs\xe2\x80\xa6'"
7/14/2022 3:05,1.54742E+18,Twitchi,"b'RT @ai_jobsNET: HIRING: Senior Data Scientist / Noida, Hyderabad, Bengaluru, Chennai https://t.co/j7q72q5U2A #AI #MachineLearning #DataJobs\xe2\x80\xa6'"
7/14/2022 3:03,1.54742E+18,ai-jobs.net,"b'HIRING: Senior Data Scientist / Noida, Hyderabad, Bengaluru, Chennai https://t.co/j7q72q5U2A #AI #MachineLearning\xe2\x80\xa6 https://t.co/deTj1jyXao'"
7/14/2022 1:18,1.54739E+18,Ikii,"b'@collegemenfess sabar temenku magang jadi data scientist udah masuk bulan keempat blm ngapa""in \xf0\x9f\x91\x8d'"
7/13/2022 16:09,1.54725E+18,Riau Football,"b'RT @khalidmeister: Hello guys, mau sampein lowongan nih. DH Collaborative (perusahaan tempat gua kerja), buka rekrutmen nih buat jadi data\xe2\x80\xa6'"
7/13/2022 15:31,1.54724E+18,Mal Kurn,"b'RT @khalidmeister: Hello guys, mau sampein lowongan nih. DH Collaborative (perusahaan tempat gua kerja), buka rekrutmen nih buat jadi data\xe2\x80\xa6'"
7/13/2022 15:21,1.54724E+18,Skrim,"b'RT @khalidmeister: Hello guys, mau sampein lowongan nih. DH Collaborative (perusahaan tempat gua kerja), buka rekrutmen nih buat jadi data\xe2\x80\xa6'"
7/13/2022 15:15,1.54724E+18,pangat karbit,"b'RT @khalidmeister: Hello guys, mau sampein lowongan nih. DH Collaborative (perusahaan tempat gua kerja), buka rekrutmen nih buat jadi data\xe2\x80\xa6'"
